FID,Northing,Easting,Latitude,Longitude,Elevation,GCP,Location,Bound,KM_Marker,GCP_Name,Remark,Section
55,378998.453835766,395449.255014672,3.424540873,101.5545963,48.593,GP47,KL/SELANGOR,Toll Plaza,428.5,GCP 56,Bukit Beruntung Toll Plaza,C3
56,373259.644700136,394774.287193773,3.372625335,101.5486564,51.723,TBM02,KL/SELANGOR,Toll Plaza,435,GCP 57,Sg Buaya Toll Plaza,C3
57,368540.484119086,395892.246077133,3.32997341,101.5588263,41.564,GP46,KL/SELANGOR,RSA NB,440,GCP 58,RSA Rawang NB,C3
58,365748.314970515,394801.328679763,3.304696928,101.5490747,35.245,GP45,KL/SELANGOR,Toll Plaza,443.3,GCP 59,Rawang Toll Plaza,C3
59,356610.995815314,397965.548708614,3.222136944,101.5777554,43.666,GP44,KL/SELANGOR,Layby SB,454.1,GCP 60,Layby Sg Buloh SB,C3
60,352996.927487134,398766.235655022,3.18947162937,101.585041208,45.225,OBR05,DL1- OBR Sungai Buloh,OBR SB,458,GCP 61,OBR Sg Buloh SB,C3
61,353003.430230739,398834.741539525,3.1895319915,101.585657441,52.387,OBR04,DL1- OBR Sungai Buloh,OBR SB,458,GCP 62,OBR Sg Buloh SB,C3
62,352956.516336463,398996.966987524,3.18911141002,101.587117987,50.77,OBR06,DL1- OBR Sungai Buloh,OBR SB,458.1,GCP 63,OBR Sg Buloh SB,C3
63,352790.067907626,399054.369006345,3.18760745,101.5876382,53.896,OBR02,DL1- OBR Sungai Buloh,OBR NB,458.4,GCP 64,OBR Sg Buloh NB,C3
64,352749.931004382,399030.438148059,3.187243933,101.5874238,54.167,OBR01,DL1- OBR Sungai Buloh,OBR NB,458.4,GCP 65,OBR Sg Buloh NB,C3
65,352739.210452198,399088.241836012,3.187148293,101.5879441,53.08,OBR03,DL1- OBR Sungai Buloh,OBR NB,458.4,GCP 66,OBR Sg Buloh NB,C3
66,351654.984585413,407057.058380298,3.177520683,101.6596636,61.5398,GP43,KL/SELANGOR,Toll Plaza SB,29.4,GCP 67,Duta Toll Plaza,C4
67,349184.54184109,398988.823554214,3.15499980316,101.58712969,46.3265,GP42,KL/SELANGOR,Toll Plaza,19,GCP 68,Kota Damansara Toll Plaza,C4
68,343641.373273982,399355.701095804,3.1048793895,101.590554499,22.309,GP41,KL/SELANGOR,Persada,13.8,GCP 69,PERSADA Subang,C4
69,342109.099305194,387734.370899728,3.0907557929,101.486044846,16.0124,TBM01,KL/SELANGOR,Toll Plaza,2,GCP 70,Setia Alam Toll Plaza,C4
70,340186.116696988,386576.806731252,3.07333905943,101.475676804,13.493,GP40,KL/SELANGOR,Toll Plaza,0,GCP 71,Bukit Raja Toll Plaza,C4
