FID,Northing,Easting,Latitude,Longitude,Elevation,GCP,Location,Bound,KM_Marker,GCP_Name,Remark,Section
89,319016.059858492,421380.545841481,3,102,49,GP31,KL/SELANGOR,Toll Plaza,289,GCP 90,Putra Mahkota Toll Plaza,C5
90,313582.910421068,422340.822750783,3,102,69,GP30,MELAKA/N.SEMBILAN,Toll Plaza,284,GCP 91,Nilai Toll Plaza,C5
91,305900.478545448,425888.945218996,3,102,57,GP29,MELAKA/N.SEMBILAN,RSA SB,274,GCP 92,RSA Seremban SB,C5
92,305143.437367593,427706.466949329,3,102,63,SN02,DL1- Seremban Northbound,RSA NB,272,GCP 93,RSA Seremban NB,C5
93,305097.220237041,427754.293520686,3,102,62,SN01,DL1- Seremban Northbound,RSA NB,272,GCP 94,RSA Seremban NB,C5
94,302410.616147561,431976.974572307,3,102,83,TBM11,MELAKA/N.SEMBILAN,Toll Plaza,267,GCP 95,Bandar Ainsdale Toll Plaza,C5
95,297321.810963868,437064.549278619,3,102,42,GP28,MELAKA/N.SEMBILAN,Toll Plaza,260,GCP 96,Port Dickson Toll Plaza NB,S1
96,288808.930293266,429218.986431612,3,102,30,GP98,MELAKA/N.SEMBILAN,EB,17,GCP 97,SPDH,SPDH
97,276901.31313797,429749.568649282,3,102,18,GP97,MELAKA/N.SEMBILAN,EB,30,GCP 98,SPDH,SPDH
98,292148.403761529,444266.607648932,3,102,48,GP27,MELAKA/N.SEMBILAN,Layby SB,250,GCP 99,Layby Senawang SB,S1
99,283964.81539715,449690.145746731,3,102,51,GP26,MELAKA/N.SEMBILAN,Toll Plaza,240,GCP 100,Pedas Linggi Toll Plaza,S1
100,276774.249805198,455108.748441535,3,102,36,GP25,MELAKA/N.SEMBILAN,Layby SB,230,GCP 101,Layby Pedas Linggi SB,S1
101,273079.535911088,458044.942061989,2,102,37,GP24,MELAKA/N.SEMBILAN,Layby NB,225,GCP 102,Layby Pedas Linggi NB,S1
102,270752.544373994,465080.566167081,2,102,36,GP23,MELAKA/N.SEMBILAN,Toll Plaza,218,GCP 103,Simpang Ampat Toll Plaza,S2
103,265121.086414044,469456.918477144,2,102,36,GP22,MELAKA/N.SEMBILAN,RSA SB,210,GCP 104,RSA Ayer Keroh SB,S2
104,261377.280645151,472150.611746146,2,102,35,AKH03,DL2- Ayer Keroh RSA NB,RSA NB,205,GCP 105,RSA Ayer Keroh NB,S2
105,254416.518799463,479243.006058674,2,102,29,GP21,MELAKA/N.SEMBILAN,Toll Plaza,195,GCP 106,Ayer Keroh Toll Plaza,S2
106,250417.533425923,492922.565539056,2,102,34,GP20,MELAKA/N.SEMBILAN,Toll Plaza,181,GCP 107,Jasin Toll Plaza,S2
107,248513.791093049,504143.007415605,2,103,28,GP19,JOHOR,Toll Plaza,169,GCP 108,Tangkak Toll Plaza,S2
108,242606.815877739,513969.490857648,2,103,4,GP18,JOHOR,Toll Plaza,157,GCP 109,Bukit Gambir Toll Plaza,S2
109,235766.061930427,525881.519201181,2,103,35,GP17,JOHOR,Toll Plaza,143,GCP 110,Pagoh Toll Plaza,S3
110,234793.37643719,532949.08820726,2,103,42,PGH03,DL2- Pagoh RSA SB,RSA SB,135,GCP 111,RSA Pagoh SB,S3
111,233257.19827064,535566.390960844,2,103,10,GP16,JOHOR,NB,132,GCP 112, ,S3
112,229593.481880996,545270.130142203,2,103,32,GP15,JOHOR,NB,121,GCP 113, ,S3
113,228438.137490775,553737.821511615,2,103,13,GP14,JOHOR,Layby NB,109,GCP 114,Layby Yong Peng NB,S3
114,221487.384376065,561040.103858807,2,103,13,GP13,JOHOR,Toll Plaza,99,GCP 115,Yong Peng North Toll Plaza,S3
115,218953.195639539,567768.710414429,2,103,6,GP12,JOHOR,NB,91,GCP 116, ,S3
116,213513.717885514,576496.743882305,2,103,11,GP11,JOHOR,Toll Plaza,81,GCP 117,Ayer Hitam Toll Plaza,S3
117,209663.011250866,580946.413690995,2,103,25,MCP01,DL2- Machap RSA NB,RSA NB,75,GCP 118,RSA Machap NB,S3
118,209665.897277108,581223.72759407,2,103,19,GP10,JOHOR,RSA SB,75,GCP 119,RSA Machap SB,S3
119,202789.097309347,588181.41879626,2,103,11,GP09,JOHOR,SB,65,GCP 120, ,S4
120,195307.36890221,594949.096033905,2,103,31,GP08,JOHOR,Layby NB,54,GCP 121,Layby Simpang Renggam NB,S4
121,189127.342816855,605764.54484495,2,103,29,GP07,JOHOR,Toll Plaza,42,GCP 122,Sedenak Toll Plaza,S4
122,183157.24761992,612543.02702277,2,104,14,GP06,JOHOR,Layby NB,33,GCP 123,Layby Kulai NB,S4
123,182540.428218952,617700.591256,2,104,29,GP05,JOHOR,Toll Plaza,28,GCP 124,Kulai Toll Plaza,S4
